pagina_pdf,archivo,etiqueta_ocr
11,p11_comienzo_o_fin_de_zona_urbana_18_a.png,Comienzo o Fin de Zona Urbana 18 A |
11,p11_identificacion_de_jurisdiccion_o_acceso_geografico_19.png,Identificación de Jurisdicción O Acceso Geográfico 19
11,p11_nomenclatura_de_autopista_111.png,Nomenclatura de Autopista 111
12,p12_comienzo_de_autopista_112.png,Comienzo de Autopista 112
12,p12_fin_de_autopista_113.png,Fin de Autopista 113
12,p12_indicadora_de_utilizacion_de_carriles_114.png,Indicadora de Utilización de Carriles 114
12,p12_camino_sin_s_11.png,Camino Sin S: 11
12,p12_10_o_calle_salida_115.png,10 O Calle Salida 115
12,p12_camino_o_transitak_116.png,Camino o | Transitak 116
12,p12_ino_o_paso_ansitable_116.png,ino o Paso ansitable 116
12,p12_velocidades_maximas_permitidas_117.png,Velocidades Máximas Permitidas 117
12,p12_esquema_de_recorrido_118.png,Esquema de Recorrido 118
12,p12_desvio_por_cambio_de_sentido_de_circulacion_119.png,Desvío por cambio de Sentido de Circulación 119
13,p13_estacionamiento_permitido_120.png,Estacionamiento Permitido 120
13,p13_permitido_girar_derecha_121.png,Permitido Girar (Derecha) 121
13,p13_permitido_girar_izquierda_121.png,Permitido Girar (Izquierda) 121
13,p13_direcciones_permitidas_derecha_122.png,Direcciones Permitidas (Derecha) 122
13,p13_direcciones_permitidas_izquierda_122.png,Direcciones Permitidas (Izquierda) 122
13,p13_direcciones_permitidas_igual_sentido_o_izquierda_122.png,Direcciones Permitidas (Igual Sentido o Izquierda) 122
13,p13_direcciones_permitidas_igual_sentido_o_derecha_122.png,Direcciones Permitidas (Igual Sentido o Derecha) 122
13,p13_direcciones_permitidas_ambas_direcciones_122.png,Direcciones Permitidas (Ambas Direcciones) 122
13,p13_direcciones_permitidas_bifurcacion_122.png,Direcciones Permitidas (Bifurcación) 122
14,p14_nm.png,nm
14,p14_pagina_14_item_2.png,pagina_14_item_2
14,p14_3.png,3]
14,p14_ul.png,ul
14,p14_el.png,[el
14,p14_a.png,[A]
14,p14_m.png,m
14,p14_py.png,py
14,p14_la.png,la]
14,p14_fa.png,fa
14,p14_lal.png,lal
14,p14_lal_2.png,lal
14,p14_pagina_14_item_3.png,pagina_14_item_3
14,p14_ol.png,[ol
14,p14_pagina_14_item_5.png,pagina_14_item_5
14,p14_e.png,E |
14,p14_cal.png,(cal
14,p14_e_2.png,E
14,p14_pagina_14_item_4.png,pagina_14_item_4
14,p14_e_3.png,E]
14,p14_pagina_14_item_1.png,pagina_14_item_1
14,p14_pagina_14_item_2_2.png,pagina_14_item_2
14,p14_pagina_14_item_3_2.png,pagina_14_item_3
14,p14_pagina_14_item_4_2.png,pagina_14_item_4
14,p14_pagina_14_item_5_2.png,pagina_14_item_5
15,p15_h1_linea_de_separacion_de_sentido_de_circulacion_linea_individual_continua.png,H1 Línea de separación de sentido de circulación Línea individual continua
15,p15_h1_linea_de_separacion_de_sentido_de_circulacien_lineas_divisorias_paralelas_continuas.png,H1 Linea de separación de sentido de circulacién Lineas divisorias paralelas continuas
15,p15_h1_linea_de_separacion_de_sentido_de_circulacion_linea_divisoria_continua_paralela_a_otra_discontinua.png,H1 Línea de separación de sentido de circulación Línea divisoria continua paralela a otra discontinua
15,p15_h1_linea_de_separacion_de_sentido_de_circulacion_lineas_divisorias_paralelas_discontinuas_para_carriles_revers.png,H1 Linea de separación de sentido de circulación Líneas divisorias paralelas discontinuas para carriles reversibles
15,p15_h2_linea_de_carril_linea_continua_divisoria_de_corrientes_del_mismo_sentido.png,H2 Línea de carril Línea continua divisoria de corrientes del mismo sentido
15,p15_h2_linea_de_carril_linea_discontinua_divisoria_de_corrientes_del_mismo_sentido.png,H2 Línea de carril Línea discontinua divisoria de corrientes del mismo sentido
16,p16_day.png,day
16,p16_h2_lineas_de_carril_exclusivo_doble_linea_continua.png,H2 Lineas de carril exclusivo Doble línea continua
16,p16_h2_linea_de_carril_preferencial_linea_de_carril_de_mayor_ancho.png,H2 Línea de carril preferencial Línea de carril de mayor ancho
16,p16_h2_linea_de_carril_preferencial_linea_de_carril_de_mayor_ancho_2.png,H2 Línea de carril preferencial Línea de carril de mayor ancho
16,p16_h3_linea_de_borde_de_calzada_linea_continua_poe.png,H3 Línea de borde de calzada Linea continua Poe = «(=|
16,p16_h4_marcas_transversales_linea_de_detencion.png,H4 Marcas transversales Línea de detención
16,p16_h5_senda_peatonal_e.png,H5 Senda peatonal E «(=|
16,p16_h5_senda_peatonal_cebrado_eas.png,H5 Senda peatonal (cebrado) EAS
16,p16_h6_senda_para_ciclistas.png,H6 Senda para ciclistas
16,p16_h6_senda_para_ciclistas_cebrado.png,H6 Senda para ciclistas (cebrado)
17,p17_h7_lineas_auxiliares_para_reduccion_de_velocidad.png,H7 Líneas auxiliares para reducción de velocidad
17,p17_h8_marcas_especiales_marcas_canalizadoras_de_transito_e_isletas.png,H8 Marcas especiales Marcas canalizadoras de tránsito (e isletas)
17,p17_h9_flecha_simple.png,H9 Flecha simple
17,p17_h9_flecha_curvada_ras.png,H9 Flecha curvada RAS |
17,p17_h9_flecha_combinada.png,H9 Flecha combinada
17,p17_h10_pare.png,H10 Pare
17,p17_h11_estacionamiento_paralelo.png,H11 Estacionamiento (Paralelo)
17,p17_h11_estacionamiento_90o.png,H11 Estacionamiento (90°)
18,p18_h12_inscripciones.png,H12 Inscripciones
18,p18_h13_cruce_ferroviario.png,H13 Cruce ferroviario
18,p18_h14_separador_de_transito.png,H14 Separador de tránsito
